meeting_idx_id,meeting_date,agenda_key,agenda_no,original_agenda_no,agenda_kind,visibility,title,case_numbers,source_status,source_confidence
6725,2020-12-23,deliberation_decision:04:4,4,④,deliberation_decision,private,데이터 기본법안(의안번호 6182) 검토의견에 관한 건,,parsed_from_schedule,0.88
6725,2020-12-23,report:01:5,5,①,report,public,「개인정보 보호법」 일부개정안에 관한 사항,,parsed_from_schedule,0.88
6725,2020-12-23,report:02:6,6,②,report,private,개인영상정보 보호 관련 제도개선 방안에 관한 건,,parsed_from_schedule,0.88
6722,2020-12-09,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조이0025~0028),"2020조이0025,2020조이0026,2020조이0027,2020조이0028",parsed_from_schedule,0.88
6722,2020-12-09,deliberation_decision:02:2,2,②,deliberation_decision,public,「개인정보 보호위원회의 조사 및 처분에 관한 규정」 제정에 관한 건,,parsed_from_schedule,0.88
6722,2020-12-09,report:01:3,3,①,report,public,「개인정보 불법유통 대응방안」에 관한 건,,parsed_from_schedule,0.88
6722,2020-12-09,report:02:4,4,②,report,public,「개인정보 보호법」 2차 개정 검토에 관한 건,,parsed_from_schedule,0.88
6719,2020-11-25,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,parsed_from_schedule,0.88
6719,2020-11-25,deliberation_decision:02:2,2,②,deliberation_decision,public,개인정보보호 기본계획 수립에 관한 건,,parsed_from_schedule,0.88
6719,2020-11-25,deliberation_decision:03:3,3,③,deliberation_decision,public,공공기관의 가명정보 결합 및 반출 등에 관한 고시 제정에 관한 건,,parsed_from_schedule,0.88
6719,2020-11-25,report:01:4,4,①,report,public,결합전문기관 지정 심사 결과,,parsed_from_schedule,0.88
6719,2020-11-25,report:02:5,5,②,report,public,교육분야 가명·익명처리 가인드라인 발간에 관한 건,,parsed_from_schedule,0.88
6719,2020-11-25,report:03:6,6,③,report,public,「코로나19 관련 과태료·과징금 징수유예」 에 관한 건,,parsed_from_schedule,0.88
6717,2020-11-18,deliberation_decision:01:1,1,①,deliberation_decision,public,경과규정이 없는 처분사항에 대한 적용법령에 관한 건,,parsed_from_schedule,0.88
6717,2020-11-18,deliberation_decision:02:2,2,②,deliberation_decision,public,「개인정보 보호위원회 처분결과 공표기준」 제정에 관한 건,,parsed_from_schedule,0.88
6717,2020-11-18,deliberation_decision:03:3,3,③,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치 등 처분에 관한 건,,parsed_from_schedule,0.88
6717,2020-11-18,report:01:4,4,-,report,public,개인정보 보호법 해설서 2020 발간,,parsed_from_schedule,0.88
6713,2020-10-28,report:01:1,1,①,report,public,제1차 개인정보보호 기본계획 수립에 관한 건,,parsed_from_schedule,0.88
6713,2020-10-28,report:02:2,2,②,report,private,코로나19 관련 안면인식 열화상카메라 개인정보보호에 관한 건,,parsed_from_schedule,0.88
6713,2020-10-28,report:03:3,3,③,report,private,「공공기관의 가명정보 결합 및 반출 등에 관한 고시(안)」 제정 추진현황 보고,,parsed_from_schedule,0.88
6706,2020-09-23,report:01:1,1,①,report,public,「개인정보 보호법」 해설서 개정 추진현황,,parsed_from_schedule,0.88
6706,2020-09-23,report:02:2,2,②,report,public,가명정보 처리 가이드라인 및 보건의료 데이터 활용 가이드라인 발간에 관한 건,,parsed_from_schedule,0.88
6706,2020-09-23,report:03:3,3,③,report,private,「개인정보보호위원회 조사업무 처리규정」 제정에 관한 건,,parsed_from_schedule,0.88
6709,2020-09-09,deliberation_decision:01:1,1,-,deliberation_decision,public,국내대리인 지정 실태점검 결과 및 개선권고에 관한 건,,parsed_from_schedule,0.88
6709,2020-09-09,report:01:2,2,①,report,public,가명정보 처리 가이드라인(결합·반출편) 발간에 관한 건,,parsed_from_schedule,0.88
6709,2020-09-09,report:02:3,3,②,report,private,개인정보 보호 기본계획 수립 추진에 관한 건,,parsed_from_schedule,0.88
6709,2020-09-09,report:03:4,4,③,report,private,개인정보 보호 정책협의회 구성·운영에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,deliberation_decision:01:1,1,①,deliberation_decision,public,가명정보의 결합 및 반출 등에 관한 고시 제정에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,deliberation_decision:02:2,2,②,deliberation_decision,public,｢한국으로 이전된 개인정보의 처리와 관련한 개인정보 보호법의 해석과 적용을 위한 보완규정｣ 제정에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,report:01:3,3,①,report,public,"개인정보보호 관련 가이드라인 개정, 해설서 개정 추진 현황",,parsed_from_schedule,0.88
6704,2020-08-26,report:02:4,4,②,report,public,2020 개인정보보호 연차보고 발간 및 국회 제출에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,report:03:5,5,③,report,public,가명정보 처리 가이드라인(가명처리편) 발간에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,report:04:6,6,④,report,public,개인정보 보호위원회 결합전문기관 지정계획(안)에 관한 건,,parsed_from_schedule,0.88
6704,2020-08-26,report:05:7,7,⑤,report,private,한-EU 적정성 결정 추진 현황,,parsed_from_schedule,0.88
6700,2020-08-05,unspecified:01:1,1,①,unspecified,public,｢개인정보 보호위원회 운영규칙｣ 제정에 관한 건,,parsed_from_schedule,0.88
6700,2020-08-05,unspecified:02:2,2,②,unspecified,public,｢지방세법 시행령｣ 일부개정안에 대한 개인정보 침해요인 평가 결과,,parsed_from_schedule,0.88
